machine,input_size,benchmark,rid,run_id,runtime(ns)
summer,A,ft_A,13,1,6465780
summer,A,ft_A,13,3,6374140
summer,A,ft_A,13,4,7772124
summer,A,ft_A,13,0,6465375
summer,A,ft_A,39,2,5392448
summer,A,ft_A,39,1,5383565
summer,A,ft_A,39,4,5260641
summer,A,ft_A,39,3,5449767
summer,A,ft_A,39,0,5342566
summer,A,ft_A,0,3,23075463
summer,A,ft_A,0,4,22433141
summer,A,ft_A,0,0,22778718
summer,A,ft_A,0,2,22952738
summer,A,ft_A,0,1,23002059
summer,A,ft_A,49,2,22720718
summer,A,ft_A,49,1,22065178
summer,A,ft_A,49,3,21923531
summer,A,ft_A,49,4,21229786
summer,A,ft_A,49,0,22547362
saphir,A,ft_A,0,0,33702341
saphir,A,ft_A,0,4,33884340
saphir,A,ft_A,0,3,33773781
saphir,A,ft_A,0,1,33623262
saphir,A,ft_A,0,2,33720462
saphir,A,ft_A,39,0,11421274
saphir,A,ft_A,39,4,11369033
saphir,A,ft_A,39,3,11469393
saphir,A,ft_A,39,1,11416034
saphir,A,ft_A,39,2,11443473
saphir,A,ft_A,49,0,19968669
saphir,A,ft_A,49,3,19599709
saphir,A,ft_A,49,4,19893349
saphir,A,ft_A,49,1,19243669
saphir,A,ft_A,49,2,18956109
saphir,A,ft_A,6,4,14390352
saphir,A,ft_A,6,3,14637911
saphir,A,ft_A,6,0,14373672
saphir,A,ft_A,6,2,14365992
saphir,A,ft_A,6,1,14463072
saphir,A,ft_A,13,0,12988673
saphir,A,ft_A,13,4,12961752
saphir,A,ft_A,13,3,12779313
saphir,A,ft_A,13,1,12863393
saphir,A,ft_A,13,2,12856873
saphir,A,is_A,9,0,427228401
saphir,A,is_A,9,3,434647917
saphir,A,is_A,9,4,502198890
saphir,A,is_A,9,1,450724787
saphir,A,is_A,9,2,490147757
saphir,A,is_A,12,0,153944429
saphir,A,is_A,12,3,66889284
saphir,A,is_A,12,4,75675717
saphir,A,is_A,12,1,67029523
saphir,A,is_A,12,2,145691038
saphir,A,is_A,15,4,92291909
saphir,A,is_A,15,3,91705149
saphir,A,is_A,15,0,87090311
saphir,A,is_A,15,2,92555427
saphir,A,is_A,15,1,89656789
saphir,A,mg_A,23,2,13100232
saphir,A,mg_A,23,1,12015353
saphir,A,mg_A,23,3,11823473
saphir,A,mg_A,23,4,12066393
saphir,A,mg_A,23,0,11871833
saphir,A,mg_A,7,2,12028913
saphir,A,mg_A,7,1,12384793
saphir,A,mg_A,7,4,11858153
saphir,A,mg_A,7,3,11817233
